Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
..15 to 19 years,"199,789","199,805","199,043","194,012","188,371","184,672","182,246","182,012","181,627","180,458","178,502","177,333"
..20 to 24 years,"181,785","181,796","183,362","190,108","197,049","200,985","201,857","198,929","193,761","188,024","184,153","181,686"
..25 to 29 years,"163,476","163,489","163,684","165,604","168,512","171,633","176,712","183,106","190,143","196,596","200,116","200,776"
..30 to 34 years,"148,701","148,702","149,710","152,880","155,005","158,575","161,206","162,565","164,759","167,373","170,314","175,046"
..35 to 39 years,"145,846","145,851","145,189","142,374","142,410","142,932","144,591","147,917","151,161","153,253","156,627","159,155"
..40 to 44 years,"150,299","150,306","149,962","149,449","148,757","147,600","145,532","143,083","140,294","140,324","140,772","142,290"
..45 to 49 years,"167,433","167,438","166,761","162,974","158,587","153,825","149,612","146,836","146,435","145,699","144,586","142,567"
..50 to 54 years,"158,554","158,555","159,379","161,851","163,000","163,511","163,782","161,782","158,081","153,818","149,176","145,125"
..55 to 59 years,"129,845","129,848","130,930","135,872","141,321","145,805","149,186","152,838","155,314","156,393","156,868","157,082"
..60 to 64 years,"101,910","101,915","103,469","109,680","111,572","115,185","119,327","123,727","128,520","133,631","137,908","141,109"
..65 to 69 years,"69,113","69,117","69,678","72,399","79,243","84,422","89,965","95,794","101,530","103,313","106,715","110,613"
..70 to 74 years,"47,344","47,344","47,925","50,355","53,158","56,223","59,466","62,304","64,910","71,255","76,118","81,240"
..75 to 79 years,"30,746","30,748","31,125","32,970","34,625","36,606","38,709","40,857","43,113","45,637","48,447","51,392"
..80 to 84 years,"19,084","19,088","19,369","20,166","21,060","22,265","23,359","24,630","26,273","27,703","29,451","31,257"
..85 years and over,"14,720","14,723","14,987","15,918","17,115","18,243","19,383","20,880","22,197","23,683","25,400","26,916"
,,,,,,,,,,,,
..Under 18 years,"651,946","651,957","650,497","645,155","640,890","638,115","636,114","633,421","629,676","625,685","620,369","615,950"
...Under 5 years,"175,971","175,972","175,815","175,188","174,053","172,963","172,799","171,780","169,590","167,319","164,571","161,894"
...5 to 13 years,"322,382","322,385","322,208","321,669","320,860","320,118","317,437","316,002","316,061","316,082","315,341","313,884"
...14 to 17 years,"153,593","153,600","152,474","148,298","145,977","145,034","145,878","145,639","144,025","142,284","140,457","140,172"
..18 to 64 years,"1,430,305","1,430,365","1,435,194","1,452,573","1,465,122","1,476,016","1,485,175","1,492,985","1,501,000","1,507,893","1,513,741","1,517,540"
...18 to 24 years,"264,241","264,261","266,110","271,889","275,958","276,950","275,227","271,131","266,293","260,806","257,374","254,390"
...25 to 44 years,"608,322","608,348","608,545","610,307","614,684","620,740","628,041","636,671","646,357","657,546","667,829","677,267"
...45 to 64 years,"557,742","557,756","560,539","570,377","574,480","578,326","581,907","585,183","588,350","589,541","588,538","585,883"
..65 years and over,"181,007","181,020","183,084","191,808","205,201","217,759","230,882","244,465","258,023","271,591","286,131","301,418"
..85 years and over,"14,720","14,723","14,987","15,918","17,115","18,243","19,383","20,880","22,197","23,683","25,400","26,916"
,,,,,,,,,,,,
..16 years and over,"1,691,196","1,691,275","1,697,293","1,720,444","1,743,731","1,765,976","1,788,610","1,810,275","1,832,303","1,852,247","1,870,560","1,888,426"
..18 years and over,"1,611,312","1,611,385","1,618,278","1,644,381","1,670,323","1,693,775","1,716,057","1,737,450","1,759,023","1,779,484","1,799,872","1,818,958"
..15 to 44 years,"989,896","989,949","990,950","994,427","1,000,104","1,006,397","1,012,144","1,017,612","1,021,745","1,026,028","1,030,484","1,036,286"
,,,,,,,,,,,,
..Median age (years),31.7,31.7,31.7,31.9,32.2,32.5,32.7,33.0,33.2,33.5,33.8,34.1
..MALE,"1,115,756","1,115,817","1,118,413","1,128,471","1,139,263","1,149,557","1,159,452","1,168,573","1,176,983","1,184,653","1,191,578","1,198,371"
...Under 5 years,"88,950","88,950","88,844","88,709","88,299","87,946","88,022","87,771","86,565","85,506","84,125","82,787"
...5 to 9 years,"89,825","89,825","89,609","89,388","89,611","89,994","89,482","88,800","88,688","88,262","87,857","87,893"
...10 to 14 years,"92,771","92,774","92,768","92,469","91,935","91,086","90,484","89,513","89,334","89,590","89,989","89,486"
...15 to 19 years,"102,464","102,478","102,056","99,430","96,304","94,143","92,751","92,624","92,277","91,732","90,884","90,275"
...20 to 24 years,"92,249","92,258","93,201","96,938","100,739","102,942","103,414","101,967","99,151","95,895","93,560","92,130"
...25 to 29 years,"81,671","81,681","81,720","82,900","84,649","86,577","89,526","93,156","97,088","100,475","102,221","102,495"
...30 to 34 years,"74,074","74,075","74,677","75,965","77,186","79,054","80,196","80,979","82,413","83,856","85,682","88,388"
...35 to 39 years,"71,916","71,921","71,634","70,289","70,312","70,719","71,853","73,552","74,930","76,158","77,834","78,920"
...40 to 44 years,"73,607","73,614","73,458","73,400","73,294","72,680","71,502","70,378","69,072","69,063","69,408","70,414"
...45 to 49 years,"81,141","81,145","80,799","79,265","77,121","74,753","72,911","71,616","71,590","71,417","70,818","69,664"
...50 to 54 years,"75,565","75,565","75,973","77,232","77,866","78,425","78,791","77,888","76,355","74,268","71,960","70,208"
...55 to 59 years,"61,812","61,814","62,336","64,245","66,857","68,894","70,453","72,133","73,378","73,951","74,476","74,803"
...60 to 64 years,"49,097","49,100","49,811","52,680","53,106","54,519","56,153","58,013","59,831","62,238","64,147","65,611"
...65 to 69 years,"32,936","32,938","33,125","34,334","37,594","39,970","42,588","45,335","47,908","48,282","49,564","51,042"
