"TOTAL
..Under 5 years,"15,086,874","15,086,931","15,062,801","14,969,369","14,847,580","14,750,932","14,764,005","14,797,150","14,789,946","14,751,622","14,636,311","14,482,472"
..5 to 9 years,"15,557,886","15,557,964","15,520,898","15,430,592","15,446,380","15,441,260","15,332,171","15,243,319","15,162,379","15,050,183","14,949,532","14,952,070"
..10 to 14 years,"16,151,952","16,152,114","16,138,302","16,088,780","15,975,587","15,880,076","15,809,517","15,669,986","15,584,918","15,603,947","15,592,861","15,474,507"
..15 to 19 years,"17,508,188","17,509,224","17,439,261","17,096,559","16,804,234","16,589,961","16,425,137","16,370,829","16,325,351","16,210,828","16,099,336","16,014,522"
..20 to 24 years,"17,263,724","17,265,178","17,357,354","17,714,561","18,021,849","18,154,259","18,127,725","17,883,482","17,544,024","17,240,261","16,987,966","16,788,398"
..25 to 29 years,"16,791,378","16,792,519","16,829,504","16,940,709","17,034,646","17,191,335","17,515,964","17,882,475","18,269,536","18,558,431","18,644,999","18,569,938"
..30 to 34 years,"15,837,616","15,838,449","15,923,815","16,292,584","16,609,276","16,900,480","17,080,917","17,191,726","17,336,442","17,429,482","17,559,142","17,845,120"
..35 to 39 years,"16,323,302","16,324,044","16,206,665","15,678,683","15,509,403","15,558,861","15,765,335","16,093,758","16,478,083","16,793,011","17,068,642","17,227,594"
..40 to 44 years,"17,448,564","17,449,339","17,440,178","17,470,576","17,357,759","17,096,943","16,707,953","16,243,802","15,729,322","15,555,511","15,590,284","15,775,065"
..45 to 49 years,"19,686,517","19,687,292","19,592,849","19,030,444","18,479,188","17,920,515","17,470,331","17,316,587","17,355,181","17,242,405","16,976,202","16,582,022"
..50 to 54 years,"19,856,671","19,857,299","19,882,122","19,988,910","19,890,785","19,752,986","19,602,297","19,249,936","18,702,890","18,161,492","17,610,188","17,164,672"
..55 to 59 years,"17,823,373","17,823,750","17,927,654","18,283,645","18,677,699","18,979,515","19,159,546","19,316,791","19,420,016","19,320,589","19,179,765","19,028,817"
..60 to 64 years,"15,445,539","15,445,858","15,595,513","16,330,404","16,263,731","16,484,682","16,814,122","17,198,148","17,533,457","17,900,917","18,177,863","18,342,792"
..65 to 69 years,"11,486,687","11,486,980","11,559,992","11,859,080","12,878,369","13,413,748","14,040,512","14,689,569","15,376,567","15,309,102","15,510,343","15,814,667"
..70 to 74 years,"8,578,024","8,578,327","8,628,395","8,871,252","9,242,876","9,789,774","10,201,629","10,550,199","10,828,117","11,772,725","12,271,517","12,846,647"
..75 to 79 years,"6,806,987","6,807,430","6,804,634","6,852,990","6,935,749","7,095,360","7,301,041","7,468,072","7,692,747","8,020,366","8,510,842","8,872,351"
..80 to 84 years,"5,391,839","5,392,427","5,401,632","5,402,159","5,386,566","5,356,162","5,335,393","5,355,734","5,411,142","5,481,828","5,621,168","5,789,770"
..85 years and over,"5,222,823","5,224,369","5,267,212","5,398,333","5,542,612","5,646,532","5,759,220","5,858,858","5,950,306","6,009,309","6,060,671","6,095,862"
,,,,,,,,,,,,
..Under 18 years,"57,050,576","57,051,247","56,937,908","56,517,915","56,137,344","55,838,457","55,637,882","55,477,497","55,290,277","55,058,231","54,687,874","54,351,585"
...Under 5 years,"15,086,874","15,086,931","15,062,801","14,969,369","14,847,580","14,750,932","14,764,005","14,797,150","14,789,946","14,751,622","14,636,311","14,482,472"
