Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
..80 to 84 years,"2,053,646","2,053,827","2,062,903","2,081,902","2,090,900","2,088,850","2,088,157","2,104,372","2,132,421","2,167,120","2,231,462","2,307,320"
..85 years and over,"1,611,960","1,612,275","1,629,647","1,691,116","1,758,158","1,812,999","1,870,076","1,924,797","1,975,588","2,013,564","2,045,208","2,070,601"
,,,,,,,,,,,,
..Under 18 years,"28,081,071","28,081,357","28,040,628","27,893,415","27,739,232","27,606,265","27,522,581","27,466,099","27,406,880","27,316,546","27,165,218","27,009,051"
...Under 5 years,"7,521,423","7,521,439","7,512,610","7,474,046","7,406,935","7,348,614","7,352,052","7,358,284","7,338,929","7,318,743","7,272,349","7,198,417"
...5 to 13 years,"14,007,934","14,008,001","13,998,258","13,973,624","13,954,619","13,921,164","13,821,402","13,754,628","13,742,795","13,698,199","13,633,457","13,576,534"
...14 to 17 years,"6,551,714","6,551,917","6,529,760","6,445,745","6,377,678","6,336,487","6,349,127","6,353,187","6,325,156","6,299,604","6,259,412","6,234,100"
..18 to 64 years,"76,479,485","76,482,749","76,589,689","76,928,603","76,909,908","76,948,914","76,990,474","77,041,886","77,058,301","77,008,748","76,907,932","76,731,931"
...18 to 24 years,"11,807,276","11,808,319","11,826,251","11,876,770","11,934,235","11,936,818","11,882,627","11,754,209","11,613,501","11,486,463","11,411,943","11,333,036"
...25 to 44 years,"31,972,826","31,974,228","31,975,331","31,958,720","32,001,347","32,072,990","32,155,160","32,250,171","32,377,297","32,570,164","32,783,104","32,979,036"
...45 to 64 years,"32,699,383","32,700,202","32,788,107","33,093,113","32,974,326","32,939,106","32,952,687","33,037,506","33,067,503","32,952,121","32,712,885","32,419,859"
..65 years and over,"15,138,364","15,139,270","15,223,134","15,576,924","16,322,764","16,925,599","17,515,650","18,077,096","18,656,712","19,239,247","19,835,318","20,451,333"
..85 years and over,"1,611,960","1,612,275","1,629,647","1,691,116","1,758,158","1,812,999","1,870,076","1,924,797","1,975,588","2,013,564","2,045,208","2,070,601"
,,,,,,,,,,,,
..16 years and over,"94,946,085","94,950,389","95,131,573","95,782,633","96,458,994","97,058,110","97,674,389","98,291,438","98,917,199","99,449,587","99,884,722","100,296,595"
..18 years and over,"91,617,849","91,622,019","91,812,823","92,505,527","93,232,672","93,874,513","94,506,124","95,118,982","95,715,013","96,247,995","96,743,250","97,183,264"
..15 to 44 years,"48,732,203","48,734,828","48,740,818","48,705,873","48,739,847","48,769,748","48,786,423","48,781,628","48,773,391","48,804,932","48,891,469","48,990,928"
,,,,,,,,,,,,
..Median age (years),37.7,37.7,37.7,37.9,38.0,38.1,38.2,38.3,38.5,38.6,38.8,39.0
.FEMALE,"122,238,141","122,242,055","122,381,877","122,893,203","123,382,874","123,828,111","124,321,936","124,797,609","125,291,165","125,706,232","126,052,557","126,329,875"
..Under 5 years,"7,169,084","7,169,109","7,162,765","7,128,288","7,065,730","7,011,197","7,006,526","7,008,250","6,990,751","6,968,837","6,921,788","6,856,667"
..5 to 9 years,"7,338,075","7,338,116","7,327,836","7,306,130","7,323,300","7,322,563","7,269,726","7,229,957","7,201,336","7,144,639","7,093,157","7,084,989"
..10 to 14 years,"7,497,140","7,497,192","7,494,987","7,492,641","7,463,539","7,446,560","7,435,776","7,397,775","7,380,368","7,401,440","7,402,110","7,343,403"
..15 to 19 years,"7,937,864","7,938,106","7,911,843","7,790,155","7,690,393","7,627,210","7,584,355","7,581,872","7,584,119","7,558,560","7,541,700","7,525,358"
..20 to 24 years,"7,894,693","7,895,044","7,926,455","8,039,506","8,129,988","8,153,911","8,139,436","8,039,516","7,915,780","7,815,193","7,747,619","7,695,287"
..25 to 29 years,"7,857,872","7,858,102","7,868,039","7,886,563","7,878,041","7,895,558","7,967,973","8,065,019","8,180,890","8,270,990","8,289,227","8,262,050"
..30 to 34 years,"7,461,564","7,461,751","7,495,917","7,649,228","7,771,782","7,881,285","7,944,073","7,965,645","7,989,501","7,983,676","7,998,044","8,059,180"
..35 to 39 years,"7,659,196","7,659,395","7,608,488","7,385,496","7,316,138","7,337,832","7,410,147","7,538,632","7,696,147","7,821,031","7,930,474","7,986,105"
..40 to 44 years,"8,107,290","8,107,462","8,106,024","8,131,239","8,077,301","7,968,613","7,802,453","7,605,588","7,388,153","7,321,826","7,342,771","7,408,669"
..45 to 49 years,"9,071,931","9,072,109","9,031,945","8,783,510","8,546,757","8,306,331","8,114,142","8,051,259","8,079,617","8,028,085","7,920,280","7,752,420"
..50 to 54 years,"9,086,671","9,086,798","9,102,421","9,171,530","9,147,649","9,100,213","9,048,349","8,906,888","8,664,673","8,432,380","8,196,084","8,004,484"
..55 to 59 years,"8,237,780","8,237,857","8,286,322","8,447,910","8,625,541","8,757,943","8,838,158","8,910,962","8,976,059","8,950,542","8,902,752","8,850,887"
..60 to 64 years,"7,247,819","7,247,934","7,315,194","7,647,031","7,597,742","7,701,699","7,860,262","8,045,939","8,199,100","8,366,481","8,490,615","8,564,001"
..65 to 69 years,"5,540,089","5,540,192","5,572,912","5,708,381","6,189,396","6,423,301","6,701,923","6,991,293","7,309,375","7,264,313","7,364,450","7,514,281"
..70 to 74 years,"4,253,820","4,253,933","4,275,952","4,387,965","4,560,788","4,825,132","5,022,467","5,186,291","5,314,668","5,768,204","5,990,690","6,251,368"
..75 to 79 years,"3,548,247","3,548,469","3,542,229","3,543,743","3,568,313","3,637,796","3,731,076","3,801,098","3,907,449","4,064,177","4,307,274","4,483,876"
..80 to 84 years,"3,024,865","3,025,222","3,024,766","3,005,511","2,975,616","2,934,364","2,901,976","2,893,985","2,903,346","2,925,645","2,989,097","3,067,596"
..85 years and over,"3,304,141","3,305,264","3,327,782","3,388,376","3,454,860","3,496,603","3,543,118","3,577,640","3,609,833","3,620,213","3,624,425","3,619,254"
,,,,,,,,,,,,
..Under 18 years,"26,663,947","26,664,148","26,634,131","26,524,903","26,404,627","26,300,655","26,228,314","26,175,856","26,122,905","26,037,947","25,898,529","25,749,242"
...Under 5 years,"7,169,084","7,169,109","7,162,765","7,128,288","7,065,730","7,011,197","7,006,526","7,008,250","6,990,751","6,968,837","6,921,788","6,856,667"
...5 to 13 years,"13,322,926","13,323,005","13,317,259","13,299,154","13,291,466","13,269,075","13,184,452","13,123,859","13,108,874","13,064,863","13,004,336","12,946,478"
...14 to 17 years,"6,171,937","6,172,034","6,154,107","6,097,461","6,047,431","6,020,383","6,037,336","6,043,747","6,023,280","6,004,247","5,972,405","5,946,097"
..18 to 64 years,"75,903,032","75,904,827","76,004,105","76,334,324","76,229,274","76,210,260","76,193,062","76,171,446","76,123,589","76,025,733","75,878,092","75,644,258"
...18 to 24 years,"11,172,909","11,173,419","11,189,755","11,231,817","11,268,323","11,260,786","11,207,505","11,081,514","10,949,449","10,850,722","10,807,845","10,756,462"
...25 to 44 years,"31,085,922","31,086,710","31,078,468","31,052,526","31,043,262","31,083,288","31,124,646","31,174,884","31,254,691","31,397,523","31,560,516","31,716,004"
...45 to 64 years,"33,644,201","33,644,698","33,735,882","34,049,981","33,917,689","33,866,186","33,860,911","33,915,048","33,919,449","33,777,488","33,509,731","33,171,792"
..65 years and over,"19,671,162","19,673,080","19,743,641","20,033,976","20,748,973","21,317,196","21,900,560","22,450,307","23,044,671","23,642,552","24,275,936","24,936,375"
..85 years and over,"3,304,141","3,305,264","3,327,782","3,388,376","3,454,860","3,496,603","3,543,118","3,577,640","3,609,833","3,620,213","3,624,425","3,619,254"
,,,,,,,,,,,,
..16 years and over,"98,701,537","98,705,306","98,866,427","99,457,358","100,027,881","100,549,481","101,106,408","101,636,754","102,210,641","102,714,648","103,150,806","103,551,503"
..18 years and over,"95,574,194","95,577,907","95,747,746","96,368,300","96,978,247","97,527,456","98,093,622","98,621,753","99,168,260","99,668,285","100,154,028","100,580,633"
..15 to 44 years,"46,918,479","46,919,860","46,916,766","46,882,187","46,863,643","46,864,409","46,848,437","46,796,272","46,754,590","46,771,276","46,849,835","46,936,649"
,,,,,,,,,,,,
..Median age (years),40.2,40.2,40.2,40.5,40.7,40.8,41.0,41.1,41.2,41.3,41.4,41.6
.NOT HISPANIC,"197,318,956","197,326,434","197,388,592","197,486,399","197,639,572","197,690,405","197,799,592","197,837,000","197,845,666","197,748,159","197,535,202","197,309,822"
..Under 5 years,"10,307,018","10,307,054","10,280,119","10,179,543","10,072,067","9,985,089","9,974,460","9,972,683","9,935,594","9,889,702","9,808,764","9,697,245"
..5 to 9 years,"10,885,276","10,885,338","10,848,281","10,732,580","10,672,891","10,588,182","10,437,370","10,313,654","10,216,966","10,112,261","10,024,294","10,011,063"
..10 to 14 years,"11,449,387","11,449,484","11,426,070","11,338,451","11,214,783","11,108,593","11,012,095","10,868,194","10,755,582","10,699,072","10,614,014","10,460,991"
..15 to 19 years,"12,386,523","12,387,140","12,329,458","12,066,801","11,843,592","11,675,721","11,540,476","11,457,108","11,370,671","11,247,460","11,137,774","11,038,241"
..20 to 24 years,"12,466,708","12,467,666","12,508,105","12,637,413","12,737,094","12,722,855","12,623,189","12,397,496","12,130,864","11,899,634","11,718,682","11,574,506"
