Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
..16 years and over,"6,440,360","6,440,396","6,488,520","6,710,110","6,935,465","7,161,500","7,405,904","7,657,993","7,908,491","8,144,543","8,328,475","8,518,826"
..18 years and over,"6,254,844","6,254,880","6,301,918","6,519,728","6,739,923","6,961,526","7,203,050","7,453,253","7,696,711","7,923,125","8,106,366","8,292,653"
..15 to 44 years,"3,741,597","3,741,619","3,761,723","3,864,527","3,970,849","4,067,715","4,171,819","4,280,040","4,386,414","4,473,564","4,526,625","4,583,012"
,,,,,,,,,,,,
..Median age (years),36.1,36.1,36.2,36.5,36.7,36.9,37.1,37.3,37.5,37.8,38.1,38.5
.NOT HISPANIC,"14,661,516","14,661,639","14,760,994","15,210,462","15,673,926","16,147,839","16,660,735","17,198,200","17,713,306","18,186,249","18,545,428","18,905,879"
..Under 5 years,"890,168","890,169","890,303","890,694","894,493","903,851","920,216","942,347","964,722","975,972","967,016","959,256"
..5 to 9 years,"921,576","921,577","924,158","938,808","960,697","976,365","984,252","994,285","998,329","1,004,494","1,010,315","1,019,975"
..10 to 14 years,"875,733","875,734","882,301","905,336","923,697","952,991","986,675","1,010,112","1,024,003","1,043,777","1,053,901","1,055,572"
..15 to 19 years,"951,156","951,174","950,691","953,990","965,838","982,633","999,049","1,023,787","1,047,745","1,063,554","1,082,742","1,107,305"
..20 to 24 years,"1,102,319","1,102,356","1,111,754","1,159,196","1,197,770","1,221,761","1,239,219","1,250,816","1,258,611","1,266,852","1,262,054","1,256,369"
..25 to 29 years,"1,234,465","1,234,482","1,241,752","1,280,365","1,310,488","1,349,136","1,407,256","1,470,195","1,532,037","1,575,418","1,582,429","1,575,091"
..30 to 34 years,"1,242,353","1,242,361","1,247,803","1,284,578","1,337,023","1,392,137","1,447,166","1,498,924","1,553,787","1,591,272","1,620,813","1,661,341"
..35 to 39 years,"1,296,949","1,296,955","1,300,980","1,316,163","1,325,515","1,335,522","1,359,784","1,397,742","1,442,842","1,500,976","1,553,744","1,600,457"
..40 to 44 years,"1,156,084","1,156,088","1,168,951","1,222,015","1,285,195","1,330,476","1,364,703","1,391,199","1,410,650","1,422,132","1,428,023","1,445,094"
..45 to 49 years,"1,077,585","1,077,591","1,081,323","1,108,338","1,128,208","1,146,303","1,176,925","1,227,174","1,279,884","1,341,518","1,382,446","1,411,300"
..50 to 54 years,"982,751","982,754","990,207","1,007,011","1,026,923","1,060,977","1,098,272","1,118,451","1,144,051","1,162,071","1,175,772","1,201,079"
..55 to 59 years,"847,293","847,296","855,126","894,496","930,024","963,041","988,972","1,018,399","1,036,221","1,055,503","1,085,359","1,117,164"
..60 to 64 years,"692,091","692,092","704,305","749,451","780,862","812,009","844,392","876,458","916,647","951,535","981,173","1,003,002"
..65 to 69 years,"476,113","476,113","483,389","513,025","556,153","605,285","656,555","713,659","759,313","791,025","819,892","848,563"
..70 to 74 years,"355,696","355,699","360,463","381,025","404,462","426,220","452,441","479,502","508,731","550,614","596,758","643,700"
..75 to 79 years,"251,919","251,921","254,336","268,929","285,059","301,607","320,498","341,669","361,312","383,266","403,127","426,489"
..80 to 84 years,"169,240","169,245","171,852","181,987","191,742","202,861","213,496","224,416","237,960","252,440","267,179","283,340"
..85 years and over,"138,025","138,032","141,300","155,055","169,777","184,664","200,864","219,065","236,461","253,830","272,685","290,782"
